date,day,aircraft,helicopter,tank,APC,field artillery,MRL,military auto,fuel tank,drone,naval ship,anti-aircraft warfare,special equipment,mobile SRBM system,,,aircraftall,diffair,point
2022/2/25,2,10,7,80,516,49,4,100,60,0,2,0,,,,,17,,
2022/2/26,3,27,26,146,706,49,4,130,60,2,2,0,,,,,53,36,53
2022/2/27,4,27,26,150,706,50,4,130,60,2,2,0,,,,,53,0,
2022/2/28,5,29,29,150,816,74,21,291,60,3,2,5,,,,,58,5,
2022/3/1,6,29,29,198,846,77,24,305,60,3,2,7,,,,,58,0,
2022/3/2,7,30,31,211,862,85,40,355,60,3,2,9,,,,,61,3,
2022/3/3,8,30,31,217,900,90,42,374,60,3,2,11,,,,,61,0,
2022/3/4,9,33,37,251,939,105,50,404,60,3,2,18,,,,,70,9,70
2022/3/5,10,39,40,269,945,105,50,409,60,3,2,19,,,,,79,9,
2022/3/6,11,44,48,285,985,109,50,447,60,4,2,21,,,,,92,13,
2022/3/7,12,46,68,290,999,117,50,454,60,7,3,23,,,,,114,22,114
2022/3/8,13,48,80,303,1036,120,56,474,60,7,3,27,,,,,128,14,
2022/3/9,14,49,81,317,1070,120,56,482,60,7,3,28,,,,,130,2,
2022/3/10,15,49,81,335,1105,123,56,526,60,7,3,29,,,,,130,0,
2022/3/11,16,57,83,353,1165,125,58,558,60,7,3,31,,,,,140,10,
2022/3/12,17,58,83,362,1205,135,62,585,60,7,3,33,,,,,141,1,
2022/3/13,18,74,86,374,1226,140,62,600,60,7,3,34,,,,,160,19,160
2022/3/14,19,77,90,389,1249,150,64,617,60,8,3,34,,,,,167,7,
2022/3/15,20,81,95,404,1279,150,64,640,60,9,3,36,,,,,176,9,
2022/3/16,21,84,108,430,1375,190,70,819,60,11,3,43,10,,,,192,16,192
2022/3/17,22,86,108,444,1435,201,72,864,60,11,3,43,10,,,,194,2,
2022/3/18,23,93,112,450,1448,205,72,879,60,12,3,43,11,,,,205,11,
2022/3/19,24,95,115,466,1470,213,72,914,60,17,3,44,11,,,,210,5,
2022/3/20,25,96,118,476,1487,230,74,947,60,21,3,44,12,,,,214,4,
2022/3/21,26,97,121,498,1535,240,80,969,60,24,3,45,13,,,,218,4,
2022/3/22,27,99,123,509,1556,252,80,1000,70,35,3,45,15,,,,222,4,
2022/3/23,28,101,124,517,1578,267,80,1008,70,42,4,47,15,,,,225,3,
2022/3/24,29,108,124,530,1597,280,82,1033,72,50,4,47,16,,,,232,7,
2022/3/25,30,115,125,561,1625,291,90,1089,72,53,5,49,18,,,,240,8,
2022/3/26,31,117,127,575,1640,293,91,1131,73,56,7,51,19,2,,,244,4,
2022/3/27,32,121,127,582,1664,294,93,1144,73,56,7,52,21,4,,,248,4,
2022/3/28,33,123,127,586,1694,302,95,1150,73,66,7,54,21,4,,,250,2,
2022/3/29,34,127,129,597,1710,303,96,1178,73,71,7,54,21,4,,,256,6,
2022/3/30,35,131,131,605,1723,305,96,1184,75,81,7,54,21,4,,,262,6,
2022/3/31,36,135,131,614,1735,311,96,1201,75,83,7,54,22,4,,,266,4,
2022/4/1,37,143,131,625,1751,316,96,1220,76,85,7,54,24,4,,,274,8,
2022/4/2,38,143,134,631,1776,317,100,1236,76,87,7,54,24,4,,,277,3,
2022/4/3,39,143,134,644,1830,325,105,1249,76,89,7,54,24,4,,,277,0,
2022/4/4,40,147,134,647,1844,330,107,1273,76,91,7,54,25,4,,,281,4,
2022/4/5,41,150,134,676,1858,332,107,1322,76,94,7,55,25,4,,,284,3,
2022/4/6,42,150,135,684,1861,332,107,1324,76,96,7,55,25,4,,,285,1,
2022/4/7,43,150,135,698,1891,332,108,1358,76,111,7,55,25,4,,,285,0,
2022/4/8,44,150,135,700,1891,333,108,1361,76,112,7,55,25,4,,,285,0,
2022/4/9,45,151,136,705,1895,335,108,1363,76,112,7,55,25,4,,,287,2,
2022/4/10,46,152,137,722,1911,342,108,1384,76,112,7,55,25,4,,,289,2,
2022/4/11,47,154,137,725,1923,347,111,1387,76,119,7,55,25,4,,,291,2,
2022/4/12,48,157,140,732,1946,349,111,1406,76,124,7,63,25,4,,,297,6,
2022/4/13,49,158,143,739,1964,358,115,1429,76,132,7,64,25,4,,,301,4,
2022/4/14,50,160,144,753,1968,366,122,1437,76,134,7,64,25,4,,,304,3,
2022/4/15,51,163,144,756,1976,366,122,1443,76,135,8,66,25,4,,,307,3,
2022/4/16,52,163,145,762,1982,371,125,1458,76,138,8,66,26,4,,,308,1,
2022/4/17,53,165,146,773,2002,376,127,1471,76,148,8,66,27,4,,,311,3,
2022/4/18,54,167,147,790,2041,381,130,1487,76,155,8,67,27,4,,,314,3,
2022/4/19,55,169,150,802,2063,386,132,1495,76,158,8,67,27,4,,,319,5,
2022/4/20,56,171,150,815,2087,391,136,1504,76,165,8,67,27,4,,,321,2,
2022/4/21,57,172,151,829,2118,393,136,1508,76,166,8,67,27,4,,,323,2,
2022/4/22,58,176,153,838,2162,397,138,1523,76,172,8,69,27,4,,,329,6,
2022/4/23,59,177,154,854,2205,403,143,1543,76,182,8,69,27,4,,,331,2,
2022/4/24,60,179,154,873,2238,408,147,1557,76,191,8,69,28,4,,,333,2,
2022/4/25,61,181,154,884,2258,411,149,1566,76,201,8,69,28,4,,,335,2,
2022/4/26,62,184,154,918,2308,416,149,1643,76,205,8,69,31,4,,,338,3,
2022/4/27,63,185,155,939,2342,421,149,1666,76,207,8,71,31,4,,,340,2,
2022/4/28,64,187,155,970,2389,431,151,1688,76,215,8,72,31,4,,,342,2,
2022/4/29,65,189,155,986,2418,435,151,1695,76,229,8,73,31,4,,,344,2,
